,name,description,category,img_urls
0,Jersey lotus,Jersey lana cashmere,cardigans y jerseis,https://st.mngbcn.com/rcs/pics/static/T3/fotos_alt/S20/37005931_49_01_D5.jpg?ts=1664282906000
1,Jersey lotus,Jersey lana cashmere,cardigans y jerseis,https://st.mngbcn.com/rcs/pics/static/T3/fotos/S20/37005931_99.jpg?ts=1660027687822
2,Jersey lotus,Jersey lana cashmere,cardigans y jerseis,https://st.mngbcn.com/rcs/pics/static/T3/fotos/S20/37005931_56.jpg?ts=1660056546232
3,Jersey lotus,Jersey lana cashmere,cardigans y jerseis,https://st.mngbcn.com/rcs/pics/static/T3/fotos/S20/37005931_02.jpg?ts=1660212483587
4,Jersey lotus,Jersey lana cashmere,cardigans y jerseis,https://st.mngbcn.com/rcs/pics/static/T3/fotos/S20/37005931_51.jpg?ts=1660029113151
5,Jersey lotus,Jersey lana cashmere,cardigans y jerseis,https://st.mngbcn.com/rcs/pics/static/T3/fotos/S20/37005931_49.jpg?ts=1658492173476
10,Pijama pack palos,Pack pijama largo,pijamas,https://st.mngbcn.com/rcs/pics/static/T3/fotos/outfit/S20/37007771_52-99999999_01.jpg?ts=1666780369477
11,Pijama pack nightset,Pack pijama largo,pijamas,https://st.mngbcn.com/rcs/pics/static/T3/fotos/outfit/S20/37046713_56-99999999_01.jpg?ts=1662707714573
17,Pijama pack nightset,Pack pijama largo,pijamas,https://st.mngbcn.com/rcs/pics/static/T3/fotos/outfit/S20/37026714_94-99999999_01.jpg?ts=1663163338843
23,Jeans ben,Jeans Ben tapered cropped,vaqueros,https://st.mngbcn.com/rcs/pics/static/T3/fotos/outfit/S20/37010992_TN-99999999_01.jpg?ts=1656677757718
24,Pijama pack leon,Pack pijama largo,pijamas,https://st.mngbcn.com/rcs/pics/static/T3/fotos/outfit/S20/37027769_91-99999999_01.jpg?ts=1664898281712
30,Pijama pack bon,Pack pijama largo,pijamas,https://st.mngbcn.com/rcs/pics/static/T3/fotos/outfit/S20/37075970_76-99999999_01.jpg?ts=1662965694514
36,Pijama pack nao,Pack pijama largo,pijamas,https://st.mngbcn.com/rcs/pics/static/T3/fotos/outfit/S20/37027770_56-99999999_01.jpg?ts=1666780369477
37,Botin sion,Botín chelsea suela track,zapatos,https://st.mngbcn.com/rcs/pics/static/T3/fotos/S20/37045921_99_B.jpg?ts=1661501729390
38,Camisa cunardo,Sobrecamisa franela cuadros,camisas,https://st.mngbcn.com/rcs/pics/static/T3/fotos/S20/37037708_99.jpg?ts=1663603010334
39,Pijama pack corse,Pack pijama largo,pijamas,https://st.mngbcn.com/rcs/pics/static/T3/fotos/outfit/S20/37057768_56-99999999_01.jpg?ts=1664898281712
40,Jersey lilyp,Jersey cuello abotonado,cardigans y jerseis,https://st.mngbcn.com/rcs/pics/static/T3/fotos/S20/37055938_49.jpg?ts=1660309669093
41,Americana velvet,Americana slim-fit terciopelo,americanas,https://st.mngbcn.com/rcs/pics/static/T4/fotos/S20/47050007_76.jpg?ts=1667374525922
42,Americana velvet,Americana slim-fit terciopelo,americanas,https://st.mngbcn.com/rcs/pics/static/T4/fotos/S20/47050007_99.jpg?ts=1667374525922
45,Deportiva metrosue,Deportiva ante cordones,zapatos,https://st.mngbcn.com/rcs/pics/static/T4/fotos/S20/47090651_07_D5.jpg?ts=1666021172802
46,Deportiva metrosue,Deportiva ante cordones,zapatos,https://st.mngbcn.com/rcs/pics/static/T4/fotos/S20/47090651_30_D5.jpg?ts=1666021172802
47,Zapato pauloin,Zapato traje piel,zapatos,https://st.mngbcn.com/rcs/pics/static/T4/fotos/S20/47050253_99_B.jpg?ts=1665414160904
48,Zapato pauloin,Zapato traje piel,zapatos,https://st.mngbcn.com/rcs/pics/static/T4/fotos/S20/47050253_30_B.jpg?ts=1668164571373
49,Camisa galdana-i,Camisa slim-fit algodón textura,camisas,https://st.mngbcn.com/rcs/pics/static/T3/fotos/S20/37035962_09.jpg?ts=1667376238894
50,Camisa galdana,Camisa slim-fit algodón textura,camisas,https://st.mngbcn.com/rcs/pics/static/T3/fotos/S20/37055961_30_B.jpg?ts=1668173853669
51,Camisa galdana,Camisa slim-fit algodón textura,camisas,https://st.mngbcn.com/rcs/pics/static/T3/fotos/S20/37055961_56.jpg?ts=1667376238894
52,Camisa galdana,Camisa slim-fit algodón textura,camisas,https://st.mngbcn.com/rcs/pics/static/T3/fotos/S20/37055961_92.jpg?ts=1667383527734
59,Camiseta marinier,Camiseta manga larga rayas,camisetas,https://st.mngbcn.com/rcs/pics/static/T4/fotos/S20/47001054_49.jpg?ts=1664982187328
60,Camiseta marinier,Camiseta manga larga rayas,camisetas,https://st.mngbcn.com/rcs/pics/static/T4/fotos/S20/47001054_02.jpg?ts=1664876790615
61,Sudadera alludia2,Sobrecamisa textura bolsillos,sudaderas,https://st.mngbcn.com/rcs/pics/static/T4/fotos/S20/47061152_09.jpg?ts=1664895800474
62,Sudadera alludia2,Sobrecamisa textura bolsillos,sudaderas,https://st.mngbcn.com/rcs/pics/static/T4/fotos/S20/47061152_56.jpg?ts=1664895800474
63,Sudadera nola,Sudadera felpa algodón,sudaderas,https://st.mngbcn.com/rcs/pics/static/T4/fotos/S20/47040795_48.jpg?ts=1665642931582
64,Abrigo dalan-i,Abrigo oversize lana reciclada,abrigos,https://st.mngbcn.com/rcs/pics/static/T4/fotos/S20/47040000_99.jpg?ts=1664895800474
67,Camisa feinet,Camisa franela cuadros,camisas,https://st.mngbcn.com/rcs/pics/static/T4/fotos/S20/47030556_12_B.jpg?ts=1668083935984
68,Camisa aizon,Camisa slim-fit estampada,camisas,https://st.mngbcn.com/rcs/pics/static/T4/fotos/S20/47010657_56.jpg?ts=1666780369477
69,Botin lund,Bota piel cordones,zapatos,https://st.mngbcn.com/rcs/pics/static/T3/fotos/S20/37055920_CU_B.jpg?ts=1660211339579
70,Sudadera skih,Sudadera algodón parche,sudaderas,https://st.mngbcn.com/rcs/pics/static/T4/fotos/S20/47090843_09.jpg?ts=1667376238894
71,Sudadera skic,Sudadera algodón parche,sudaderas,https://st.mngbcn.com/rcs/pics/static/T4/fotos/outfit/S20/47030839_53-99999999_01.jpg?ts=1668160983772
72,Sudadera ice,Sudadera algodón mensaje,sudaderas,https://st.mngbcn.com/rcs/pics/static/T4/fotos/S20/47030826_02.jpg?ts=1667383527734
73,Sudadera freedom,Sudadera capucha bordado,sudaderas,https://st.mngbcn.com/rcs/pics/static/T4/fotos/outfit/S20/47010822_49-99999999_01.jpg?ts=1668160983772
76,Sudadera bono,Sudadera algodón capucha,sudaderas,https://st.mngbcn.com/rcs/pics/static/T4/fotos/S20/47010815_28.jpg?ts=1665414160904
77,Abrigo funnel-i,Abrigo largo lana reciclada,abrigos,https://st.mngbcn.com/rcs/pics/static/T3/fotos/S20/37005523_91.jpg?ts=1663603010334
78,Abrigo funnel,Abrigo lana cuello chimenea,abrigos,https://st.mngbcn.com/rcs/pics/static/T3/fotos/S20/37024001_56.jpg?ts=1653383385466
79,Abrigo funnel,Abrigo lana cuello chimenea,abrigos,https://st.mngbcn.com/rcs/pics/static/T3/fotos/S20/37024001_99.jpg?ts=1653901086556
80,Abrigo funnel,Abrigo lana cuello chimenea,abrigos,https://st.mngbcn.com/rcs/pics/static/T3/fotos/S20/37024001_09.jpg?ts=1655293870352
81,Abrigo funnel,Abrigo lana cuello chimenea,abrigos,https://st.mngbcn.com/rcs/pics/static/T3/fotos/S20/37024001_94.jpg?ts=1654243711644
82,Parka kyoto,Parka acolchada water repellent,trench y parkas,https://st.mngbcn.com/rcs/pics/static/T3/fotos/S20/37077702_37.jpg?ts=1663236874538
83,Parka kyoto,Parka acolchada water repellent,trench y parkas,https://st.mngbcn.com/rcs/pics/static/T3/fotos/S20/37077702_99.jpg?ts=1663603597491
84,Abrigo tinof,Abrigo lana reciclada,abrigos,https://st.mngbcn.com/rcs/pics/static/T3/fotos/S20/37034755_99.jpg?ts=1655898760984
85,Abrigo tinof,Abrigo lana reciclada,abrigos,https://st.mngbcn.com/rcs/pics/static/T3/fotos/S20/37034755_09.jpg?ts=1656497458199
86,Abrigo tinof,Abrigo lana reciclada,abrigos,https://st.mngbcn.com/rcs/pics/static/T3/fotos/S20/37034755_94.jpg?ts=1658249350022
87,Abrigo funnel,Abrigo lana cuello chimenea,abrigos,https://st.mngbcn.com/rcs/pics/static/T3/fotos/S20/37024001_09_D7.jpg?ts=1661262975472
